2017:05:30:15:56:51.846,0.155,-0.141,-0.841
2017:05:30:15:56:51.904,0.145,-0.179,-1.02
2017:05:30:15:56:51.962,0.05,-0.177,-1.011
2017:05:30:15:56:52.021,0.144,-0.196,-1.113
2017:05:30:15:56:52.079,0.183,-0.143,-1.16
2017:05:30:15:56:52.137,-0.073,-0.154,-0.939
2017:05:30:15:56:52.196,0.031,-0.178,-1.071
2017:05:30:15:56:52.254,0.083,-0.225,-0.915
2017:05:30:15:56:52.313,0.063,-0.151,-0.807
2017:05:30:15:56:52.371,0.154,-0.209,-0.873
2017:05:30:15:56:52.430,0.182,-0.21,-1.012
2017:05:30:15:56:52.507,0.164,-0.193,-0.857
2017:05:30:15:56:52.537,0.04,-0.193,-1.057
2017:05:30:15:56:52.575,0.062,-0.256,-0.987
2017:05:30:15:56:52.605,0.187,-0.192,-1.008
2017:05:30:15:56:52.634,-0.12,-0.207,-0.944
2017:05:30:15:56:52.672,0.382,-0.144,-0.946
2017:05:30:15:56:52.702,-0.153,-0.242,-0.852
2017:05:30:15:56:52.741,-0.266,-0.117,-0.906
2017:05:30:15:56:52.770,0.176,-0.279,-0.987
2017:05:30:15:56:52.801,-0.08,-0.232,-1.073
2017:05:30:15:56:52.838,0.075,-0.117,-1.035
2017:05:30:15:56:52.867,0.032,-0.222,-0.897
2017:05:30:15:56:52.905,0.094,-0.207,-0.999
2017:05:30:15:56:52.935,0.188,-0.121,-1.038
2017:05:30:15:56:52.965,0.028,-0.17,-1.061
2017:05:30:15:56:53.003,0.053,-0.222,-1.039
2017:05:30:15:56:53.034,0.056,-0.183,-0.864
2017:05:30:15:56:53.071,-0.029,-0.166,-1.041
2017:05:30:15:56:53.101,0.055,-0.179,-0.913
2017:05:30:15:56:53.131,0.06,-0.184,-1.001
2017:05:30:15:56:53.169,0.094,-0.158,-0.948
2017:05:30:15:56:53.199,0.161,-0.227,-0.951
2017:05:30:15:56:53.237,0.115,-0.203,-0.97
2017:05:30:15:56:53.267,0.095,-0.095,-0.928
2017:05:30:15:56:53.303,0.091,-0.194,-0.914
2017:05:30:15:56:53.334,0.116,-0.186,-1.087
2017:05:30:15:56:53.364,0.099,-0.195,-0.971
2017:05:30:15:56:53.402,0.187,-0.189,-1.027
2017:05:30:15:56:53.432,0.039,-0.181,-0.929
2017:05:30:15:56:53.461,0.024,-0.163,-0.921
2017:05:30:15:56:53.500,0.132,-0.17,-1.018
2017:05:30:15:56:53.529,0.165,-0.251,-0.968
2017:05:30:15:56:53.567,0.082,-0.225,-1.045
2017:05:30:15:56:53.597,0.196,-0.114,-0.826
2017:05:30:15:56:53.627,0.046,-0.155,-0.899
2017:05:30:15:56:53.666,0.12,-0.168,-1.022
2017:05:30:15:56:53.695,0.168,-0.184,-1.001
2017:05:30:15:56:53.733,0.07,-0.195,-1.001
2017:05:30:15:56:53.763,0.171,-0.187,-0.955
2017:05:30:15:56:53.793,0.165,-0.184,-1.047
2017:05:30:15:56:53.832,0.148,-0.227,-1.12
2017:05:30:15:56:53.860,0.1,-0.234,-1.073
2017:05:30:15:56:53.918,0.02,-0.189,-0.915
2017:05:30:15:56:53.977,0.173,-0.167,-0.906
2017:05:30:15:56:54.035,0.158,-0.119,-0.84
2017:05:30:15:56:54.093,0.093,-0.249,-0.947
2017:05:30:15:56:54.153,0.148,-0.185,-1.049
2017:05:30:15:56:54.212,0.109,-0.17,-1.07
2017:05:30:15:56:54.269,0.188,-0.159,-0.826
2017:05:30:15:56:54.327,0.132,-0.177,-0.875
2017:05:30:15:56:54.385,0.081,-0.179,-0.923
2017:05:30:15:56:54.443,0.247,-0.21,-1.134
2017:05:30:15:56:54.501,0.183,-0.162,-0.974
2017:05:30:15:56:54.560,0.165,-0.111,-1.051
2017:05:30:15:56:54.618,0.106,-0.187,-0.939
2017:05:30:15:56:54.676,0.114,-0.205,-0.952
2017:05:30:15:56:54.735,0.041,-0.206,-0.991
2017:05:30:15:56:54.793,0.212,-0.216,-1.037
2017:05:30:15:56:54.852,0.236,-0.145,-0.931
2017:05:30:15:56:54.910,0.147,-0.171,-0.925
2017:05:30:15:56:54.968,0.314,-0.176,-0.919
2017:05:30:15:56:55.027,0.305,-0.195,-0.88
2017:05:30:15:56:55.085,0.393,-0.169,-0.977
