X-Axis,Y-Axis,Z-Axis
-0.597,-0.004,-0.844
-0.531,-0.008,-0.847
-0.568,0,-0.827
-0.534,-0.009,-0.844
-0.56,0.006,-0.82
-0.55,-0.012,-0.848
-0.511,0.007,-0.802
-0.577,-0.007,-0.855
-0.534,0,-0.814
-0.571,-0.005,-0.853
-0.514,0.004,-0.799
-0.596,-0.009,-0.863
-0.494,0.005,-0.789
-0.609,-0.01,-0.869
-0.477,0.003,-0.786
-0.618,-0.007,-0.868
-0.474,0.001,-0.789
-0.625,-0.006,-0.876
-0.476,-0.001,-0.794
-0.633,-0.007,-0.876
-0.459,0.002,-0.786
-0.639,-0.008,-0.879
-0.463,-0.004,-0.804
-0.65,-0.007,-0.871
-0.453,-0.006,-0.798
-0.659,-0.005,-0.878
-0.445,-0.009,-0.8
-0.64,-0.008,-0.869
-0.473,-0.003,-0.822
-0.638,-0.004,-0.859
-0.462,-0.012,-0.82
-0.625,-0.006,-0.861
-0.48,-0.007,-0.819
-0.604,-0.001,-0.844
-0.496,-0.015,-0.833
-0.621,-0.007,-0.858
-0.502,-0.034,-0.829
-0.659,0.006,-0.89
-0.468,-0.01,-0.826
-0.625,0,-0.858
-0.44,-0.005,-0.77
-0.631,-0.005,-0.864
-0.442,-0.006,-0.783
-0.63,-0.001,-0.864
-0.481,-0.007,-0.801
-0.641,0.002,-0.883
-0.467,-0.005,-0.777
-0.606,-0.001,-0.86
-0.488,0,-0.793
-0.607,-0.003,-0.861
-0.495,-0.004,-0.804
-0.595,-0.002,-0.851
-0.482,-0.001,-0.798
-0.629,-0.004,-0.871
-0.472,-0.009,-0.798
-0.611,-0.002,-0.856
-0.476,-0.007,-0.801
-0.63,0,-0.867
-0.457,-0.01,-0.792
-0.62,0,-0.868
-0.469,-0.008,-0.808
-0.645,-0.002,-0.88
-0.454,-0.011,-0.798
-0.63,-0.004,-0.872
-0.463,-0.003,-0.796
-0.631,-0.002,-0.876
-0.457,-0.009,-0.794
-0.644,0,-0.876
-0.454,-0.006,-0.776
-0.625,-0.002,-0.871
-0.468,-0.007,-0.797
